D1H,Q1H,Q24H,R12H,R1H,R24H,R6H,Sav1H,Sax1H,Sax3H,Sax6H,Sx1H,Sx3H,Sx6H,Tb1n6,Tb1x6,Tb2n6,Tb2x6,Tgn12,Tgn14,Tgn6,Tn12,Tn14,Tn6,Tx12,Tx24,Tx6,W10,W10-10,dd,dn,dr,dsd,dx,ff,ffs,fsd,fx,fxs,gff,gffs,h,h1,h2,h3,hc,hc1,hc2,hc3,n,n1,n2,n3,nc,nc1,nc2,nc3,nhc,p0,pg,pp,pr,ps,pwc,qg,qgn,qgx,qnh,rg,rh,sq,ss,ta,tb,tb1,tb2,tb3,tb4,tb5,td,tg,tgn,tn,tsd,tx,vv,ww,ww-10,za,zm,station,time,wsi,stationname,lat,lon,height,product,projection
,0.0,442.14,0.0,0.0,0.0,0.0,4.01667,4.53,5.48,6.91,5.92,7.65,8.85,,,,,-2.1,-2.8,-1.9,-1.7,-2.0,-1.0,0.1,0.1,-0.2,0.0,1.0,67.5,50.6,0.0,5.3,84.4,4.01,4.01,0.48,5.59,5.59,5.3,5.3,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,90.0,0.0,0.0,-0.3,-0.852724,,,,,,-1.8,-0.5,-0.6,-0.3,,-0.3,,10.0,10.0,,3520.0,06249,[2.4005286e+09],0-20000-0-06249,Berkhout,52.6428,4.9789,-2.4,,
,0.0,106.2,0.0,0.0,0.0,0.0,7.2295,8.08,8.08,8.82,9.98,10.1,11.32,,,,,-1.8,-2.5,-0.9,-1.9,-2.2,-0.9,-0.4,-0.4,-0.4,0.0,0.0,81.6,60.5,0.0,5.7,104.1,8.08,8.08,0.66,9.98,9.98,9.98,9.98,,,,,,,,,,,,,,,,,,1000.5,0.0,1000.59,0.0,1000.3,0.0,0.0,0.0,0.0,1000.58,0.0,89.0,0.0,0.0,-0.4,-1.0102,,,,,,-1.9,-0.5,-0.5,-0.4,,-0.4,,10.0,10.0,,4790.0,06251,[2.4005286e+09],0-20000-0-06251,Hoorn Terschelling,53.3911,5.3458,0.73,,
0.0,0.0,464.34,0.0,0.0,0.0,0.0,,,,,,,,,,,,-4.6,-4.6,-4.6,-2.5,-2.5,-2.5,1.0,1.0,-0.3,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,96.0,,0.0,-2.5,-2.69777,,,,,,-2.9,-4.6,-4.6,-2.5,,-2.4,,,,,,06257,[2.4005286e+09],0-20000-0-06257,Wijk aan Zee,52.5053,4.6031,8.5,,
,,,,,,,7.01217,7.69,7.87,9.26,9.11,9.57,11.19,,,,,,,,,,,,,,,,79.1,66.1,,5.0,92.8,6.97,6.97,0.47,8.2,8.2,8.06,8.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06258,[2.4005286e+09],0-20000-0-06258,Houtribdijk,52.6481,5.4006,7.25,,
,0.0,591.48,0.0,0.0,0.0,0.0,1.6675,1.85,2.84,3.93,2.74,4.18,5.34,3.2,3.3,3.2,3.3,-4.9,-4.9,-4.9,-2.7,-2.7,-2.7,2.0,2.0,0.8,1.0,1.0,39.2,7.0,0.0,12.6,78.8,1.67,1.67,0.24,2.7,2.7,2.37,2.37,10154.9,10154.9,21444.9,26974.9,10154.9,10154.9,21444.9,26974.9,8.0,1.0,7.0,8.0,8.0,1.0,7.0,8.0,1.0,998.601,0.0,998.841,0.0,998.4,0.0,0.0,0.0,0.0,998.83,0.0,95.0,0.0,0.0,-2.5,-2.74962,3.2,3.2,4.1,5.5,6.8,-3.1,-4.4,-4.5,-2.6,0.0,-2.5,,10.0,10.0,,2730.0,06260,[2.4005286e+09],0-20000-0-06260,De Bilt,52.0989,5.1797,1.9,,
,0.0,182.16,0.0,0.0,0.0,0.0,3.44133,4.12,5.98,6.04,6.45,8.18,8.43,,,,,-2.2,-3.4,-0.7,-2.1,-3.0,-0.6,-0.3,-0.3,-0.3,0.0,0.0,71.2,39.4,0.0,9.9,102.7,3.3,3.3,0.61,5.75,5.75,5.75,5.75,1004.92,1004.92,0.0,0.0,1004.92,1004.92,0.0,0.0,8.0,8.0,0.0,0.0,8.0,8.0,0.0,0.0,8.0,,0.0,,0.0,,0.0,0.0,0.0,1.0,,0.0,87.0,0.0,0.0,-0.3,-1.02007,,,,,,-2.0,-0.4,-0.5,-0.3,,-0.3,,10.0,10.0,,3640.0,06267,[2.4005286e+09],0-20000-0-06267,Stavoren,52.8967,5.3833,-1.3,,
,0.0,311.16,0.0,0.0,0.0,0.0,3.9355,4.33,4.33,4.88,5.09,5.09,7.03,,,,,-3.4,-3.4,-3.4,-2.6,-2.6,-2.6,-0.1,-0.1,-0.2,0.0,0.0,49.5,28.1,0.0,6.0,67.5,3.58,3.58,0.33,4.57,4.57,4.57,4.57,1084.92,1084.92,7874.92,0.0,1084.92,1084.92,7874.92,0.0,8.0,5.0,8.0,0.0,8.0,5.0,8.0,0.0,8.0,999.785,0.0,999.217,0.0,999.7,0.0,0.0,0.0,0.0,999.242,0.0,92.0,0.0,0.0,-0.8,-1.23483,,,,,,-1.9,-1.1,-1.3,-0.9,,-0.8,2717.69,10.0,10.0,5.42,2620.0,06269,[2.4005286e+09],0-20000-0-06269,Lelystad Airport,52.4483,5.5081,-4.52,,
,0.0,121.74,0.0,0.0,0.0,0.0,4.789,5.48,5.48,6.0,7.79,7.79,8.72,,,,,-1.7,-3.0,-0.7,-1.8,-2.7,-0.6,-0.3,-0.3,-0.3,0.0,0.0,73.6,43.6,0.0,6.4,95.6,5.48,5.48,0.9,7.79,7.79,7.79,7.79,804.921,804.921,0.0,0.0,804.921,804.921,0.0,0.0,8.0,8.0,0.0,0.0,8.0,8.0,0.0,0.0,8.0,1000.39,0.0,1000.42,0.0,1000.2,0.0,0.0,0.0,0.0,1000.42,0.0,88.0,0.0,0.0,-0.5,-1.16304,,,,,,-2.1,-0.6,-0.6,-0.5,,-0.5,3650.0,10.0,10.0,4.0,3650.0,06270,[2.4005286e+09],0-20000-0-06270,Leeuwarden Airport,53.2231,5.7517,0.27,,
,0.0,222.36,0.0,0.0,0.0,0.0,4.06467,4.41,4.53,5.91,6.14,6.86,8.12,0.9,0.9,1.5,1.5,-2.1,-2.9,-0.6,-2.0,-2.5,-0.4,-0.1,-0.1,-0.1,0.0,0.0,79.4,56.3,0.0,7.4,106.9,3.81,3.81,0.76,6.14,6.14,6.14,6.14,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,90.0,0.0,0.0,-0.2,-0.755356,0.9,1.5,2.0,3.7,6.0,-1.5,-0.4,-0.4,-0.2,,-0.2,4480.0,10.0,10.0,2.0,4480.0,06273,[2.4005286e+09],0-20000-0-06273,Marknesse,52.7019,5.8875,-3.35,,
,0.12,256.62,0.0,0.0,0.0,0.0,2.294,2.8,2.8,3.01,3.89,3.89,4.43,,,,,-3.8,-3.8,-3.8,-2.5,-2.7,-2.5,-0.1,-0.1,-0.3,0.0,0.0,47.4,21.1,0.0,8.2,68.9,2.8,2.8,0.26,3.89,3.89,3.83,3.83,6984.92,6984.92,0.0,0.0,6984.92,6984.92,0.0,0.0,8.0,8.0,0.0,0.0,8.0,8.0,0.0,0.0,8.0,993.189,0.0,998.838,0.0,992.9,0.0,0.0,0.0,0.0,998.622,0.0,90.0,0.0,0.0,-1.1,-1.6366,,,,,,-2.5,-1.6,-1.6,-1.2,,-1.1,3041.87,10.0,10.0,4.32,3010.0,06275,[2.4005286e+09],0-20000-0-06275,Deelen Airport,52.0547,5.8722,45.23,,
